total_bill,tip,smoker,day,time,size,gender
18.71,4.0,Yes,Thur,Lunch,3,Male
12.74,2.01,Yes,Thur,Lunch,2,Female
13.0,2.0,Yes,Thur,Lunch,2,Female
16.4,2.5,Yes,Thur,Lunch,2,Female
20.53,4.0,Yes,Thur,Lunch,4,Male
16.47,3.23,Yes,Thur,Lunch,3,Female
26.59,3.41,Yes,Sat,Dinner,3,Male
38.73,3.0,Yes,Sat,Dinner,4,Male
24.27,2.03,Yes,Sat,Dinner,2,Male
12.76,2.23,Yes,Sat,Dinner,2,Female
30.06,2.0,Yes,Sat,Dinner,3,Male
25.89,5.16,Yes,Sat,Dinner,4,Male
48.33,9.0,No,Sat,Dinner,4,Male
13.27,2.5,Yes,Sat,Dinner,2,Female
28.17,6.5,Yes,Sat,Dinner,3,Female
12.9,1.1,Yes,Sat,Dinner,2,Female
28.15,3.0,Yes,Sat,Dinner,5,Male
11.59,1.5,Yes,Sat,Dinner,2,Male
7.74,1.44,Yes,Sat,Dinner,2,Male
30.14,3.09,Yes,Sat,Dinner,4,Female
12.16,2.2,Yes,Fri,Lunch,2,Male
13.42,3.48,Yes,Fri,Lunch,2,Female
8.58,1.92,Yes,Fri,Lunch,1,Male
15.98,3.0,No,Fri,Lunch,3,Female
13.42,1.58,Yes,Fri,Lunch,2,Male
16.27,2.5,Yes,Fri,Lunch,2,Female
10.09,2.0,Yes,Fri,Lunch,2,Female
20.45,3.0,No,Sat,Dinner,4,Male
13.28,2.72,No,Sat,Dinner,2,Male
22.12,2.88,Yes,Sat,Dinner,2,Female
24.01,2.0,Yes,Sat,Dinner,4,Male
15.69,3.0,Yes,Sat,Dinner,3,Male
11.61,3.39,No,Sat,Dinner,2,Male
10.77,1.47,No,Sat,Dinner,2,Male
15.53,3.0,Yes,Sat,Dinner,2,Male
10.07,1.25,No,Sat,Dinner,2,Male
12.6,1.0,Yes,Sat,Dinner,2,Male
32.83,1.17,Yes,Sat,Dinner,2,Male
35.83,4.67,No,Sat,Dinner,3,Female
29.03,5.92,No,Sat,Dinner,3,Male
27.18,2.0,Yes,Sat,Dinner,2,Female
22.67,2.0,Yes,Sat,Dinner,2,Male
17.82,1.75,No,Sat,Dinner,2,Male
18.78,3.0,No,Thur,Dinner,2,Female
